M.Wt.,Model_Enthalpy,Model_Entropy,C,H,As,B,Br,Cl,F,Ge,I,N,O,P,S,Se,Si,DG (298K)
2.016,6.10E-05,148.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.058
16.043,-74.65,195.2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-50.69678857
17.031,-45.94,197.3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,-16.39486567
18.015,-241.9,200.6,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,-244.803621
26.038,227.4,204.2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,209.53015
27.026,132.9,204.1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,122.173885
28.014,0.04578,199.9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.002682
28.054,52.26,223.5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,67.961832
30.026,-107.1,226.5,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,-105.3683303
30.07,-84.12,240.6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,-32.539701
31.014,87.27,208.9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,86.600164
31.058,-18.2,242,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,33.31785967
31.998,0.07431,209.7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-0.00149
32.042,-188.2,245.1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,-163.1320186
32.046,87.28,234.3,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,160.437802
33.03,-41.91,239.9,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,2.430404
33.9978,7.922,213.5,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,13.473206
34.014,-135.9,237.4,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,-105.209372
34.0334,-196.4,225.8,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,-214.3803347
34.076,-21,214.8,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,-3.117097
40.065,278.1,244.1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,288.33644
40.065,185.4,246,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,193.9041169
40.065,190.5,245.2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,200.433067
41.053,337.5,244.7,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,354.964141
41.053,72.53,240.4,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,90.00702186
41.053,158.7,242.4,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,103.8787683
42.037,385.3,248.1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,384.396783
42.041,155.8,241.7,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,160.226042
42.081,51.71,241.6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,102.378966
42.081,35.9,273,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,62.24406933
43.025,-14.87,245.2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,-7.681116
43.029,294.1,246,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,327.963443
43.069,126.3,249.6,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,181.341333
43.069,42.8,258.3,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,64.829203
43.069,63.03,265.1,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,113.357581
44.009,-393.5,227.2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-394.5607868
44.0284,118,228.8,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,104.598141
44.053,-166.6,270.2,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,-133.7789896
44.053,-55.69,249.8,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,-16.945345
44.057,267.9,244.2,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,331.823682
44.097,-90.18,279,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.36694067
45.041,-221.1,255.7,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,-141.108632
45.085,-20.07,276.2,2,7,0,0,0,0,0,0,0,1,0,0,0,0,0,67.326379
45.085,-35.95,280.4,2,7,0,0,0,0,0,0,0,1,0,0,0,0,0,34.35078833
46.025,-377.5,258.3,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,-349.9919777
46.0444,-138.5,252.6,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,-124.864696
46.069,-227.2,288.6,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,-167.924665
